pink,pra_duration,emo_pic,duration,pra_trials.thisRepN,pra_trials.thisTrialN,pra_trials.thisN,pra_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textreproductionstart.started,scale.started,key_next.started,scale.response,scale.rt,key_next.keys,key_next.rt,textWelcomeMessage.started,keyWelcome.started,keyWelcome.keys,keyWelcome.rt,textblank1000.started,sound_1.started,textblank1000.stopped,image.started,image.stopped,textrest.started,textready.started,sound_2.started,textrest.stopped,textready.stopped,text.started,key_resp.started,key_resp.keys,key_resp.rt,emopic.started,emopic.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,10.050436399993487,10.050436399993487,10.050436399993487,2.0717592592592595,427.2662174999714,space,525.9771813000552,,,,,,,,,,,,,,,,,,,,,002,001,2023-05-31_12h58.18.969,time_exp,2022.2.5,59.99264491556864,
,,,,,,,,,,,,,,,,,,,536.0452690999955,536.0452690999955,space,4.766938199987635,,,,,,,,,,,,,,,,,002,001,2023-05-31_12h58.18.969,time_exp,2022.2.5,59.99264491556864,
pink.png,2,,,0,0,0,1,,,,,543.9787385000382,543.9787385000382,543.9787385000382,3.055555555555556,3.9003428000723943,space,14.09628309996333,,,,,540.8453192999586,540.8453520899639,541.9620294000488,541.9620294000488,543.9787385000382,558.0956190000288,583.0792650000658,583.0793123900658,583.095970400027,588.0794320000568,,,,,,,002,001,2023-05-31_12h58.18.969,time_exp,2022.2.5,59.99264491556864,
pink.png,6,,,0,1,1,2,,,,,595.129529900034,595.129529900034,595.129529900034,7.037037037037036,3.0335954999318346,space,15.682341800071299,,,,,588.0794320000568,588.0794196900679,589.112741000019,589.112741000019,595.129529900034,610.8464456000365,635.8302153999684,635.830201589968,635.846836199984,640.8302498999983,,,,,,,002,001,2023-05-31_12h58.18.969,time_exp,2022.2.5,59.99264491556864,
pink.png,4,,,0,2,2,0,,,,,645.8803371000104,645.8803371000104,645.8803371000104,6.018518518518519,3.000297600054182,space,12.978866700083017,,,,,640.8302498999983,640.8302482899744,641.8635708000511,641.8635708000511,645.8803371000104,658.8971897000447,683.8809312999947,683.8809283900773,683.8975622999715,688.8810066999868,,,,,,,002,001,2023-05-31_12h58.18.969,time_exp,2022.2.5,59.99264491556864,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,688.8810066999868,688.8810066999868,space,3.0502469999482855,,,002,001,2023-05-31_12h58.18.969,time_exp,2022.2.5,59.99264491556864,
,,emo_pic\pnegative_low_6010.jpg,3,,,,,0,0,0,5,696.0307832000544,696.0307832000544,696.0307832000544,4.004629629629629,2.867108999984339,space,8.140636999974959,,,,,691.9643587999744,691.9643199900165,693.0146512000356,,,704.2145813000388,729.1983093000017,729.198301490047,729.2149757000152,734.198390900041,,,,,693.0146512000356,696.0307832000544,002,001,2023-05-31_12h58.18.969,time_exp,2022.2.5,59.99264491556864,
,,emo_pic\pneutral_7950.jpg,7,,,,,0,1,1,3,742.2313957000151,742.2313957000151,742.2313957000151,11.030092592592592,3.3335491999750957,space,7.540819099987857,,,,,734.198390900041,734.1983860899927,735.2150729000568,,,749.7983216000721,774.7823595000664,774.7823537900113,774.7990211000433,779.7824327000417,,,,,735.2150729000568,742.2313957000151,002,001,2023-05-31_12h58.18.969,time_exp,2022.2.5,59.99264491556864,
,,emo_pic\positive_low_2314.jpg,5,,,,,0,2,2,14,785.8321206000401,785.8321206000401,785.8321206000401,8.00925925925926,2.7502322000218555,space,10.563831400009803,,,,,779.7824327000417,779.7824423899874,780.8157961000688,,,796.415574899991,821.3997507999884,821.3997445900459,821.4164255000651,826.399802000029,,,,,780.8157961000688,785.8321206000401,002,001,2023-05-31_12h58.18.969,time_exp,2022.2.5,59.99264491556864,
,,emo_pic\pnegative_low_9331.jpg,1,,,,,0,3,3,4,828.4330609999597,828.4330609999597,828.4330609999597,0.9953703703703707,4.3669116999953985,space,9.338204900035635,,,,,826.399802000029,826.399833190022,827.4165193999652,,,837.8165194999892,862.8004068000009,862.8004021900706,862.8169872000581,867.800478399964,,,,,827.4165193999652,828.4330609999597,002,001,2023-05-31_12h58.18.969,time_exp,2022.2.5,59.99264491556864,
,,emo_pic\pnegative_high_1120.jpg,7,,,,,0,4,4,11,875.8335042999825,875.8335042999825,875.8335042999825,12.002314814814813,3.650231000036001,space,20.609996199957095,,,,,867.800478399964,867.8004834899912,868.8171293999767,,,896.4671282999916,921.4513375000097,921.4513360899873,921.46793360007,926.4514310000231,,,,,868.8171293999767,875.8335042999825,002,001,2023-05-31_12h58.18.969,time_exp,2022.2.5,59.99264491556864,
