pink,pra_duration,emo_pic,duration,pra_trials.thisRepN,pra_trials.thisTrialN,pra_trials.thisN,pra_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textreproductionstart.started,scale.started,key_next.started,scale.response,scale.rt,key_next.keys,key_next.rt,textWelcomeMessage.started,keyWelcome.started,keyWelcome.keys,keyWelcome.rt,image.started,image.stopped,textrest.started,textrest.stopped,textready.started,sound_2.started,textblank1000.started,sound_1.started,textready.stopped,textblank1000.stopped,text.started,key_resp.started,key_resp.keys,key_resp.rt,emopic.started,emopic.stopped,textEndMessage.started,keyEnd.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,34.810045700003684,34.810045700003684,34.810045700003684,1.4830043859649111,41.50986810000177,space,132.58952149999095,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-05-31_21h17.12.377,time_exp,2022.2.5,59.89139294638649,
,,,,,,,,,,,,,,,,,,,167.4157883000007,167.4157883000007,space,2.2353788999971584,,,,,,,,,,,,,,,,,,,008,001,2023-05-31_21h17.12.377,time_exp,2022.2.5,59.89139294638649,
pink.png,2,,,0,0,0,1,,,,,173.02679969999735,173.02679969999735,173.02679969999735,1.3939144736842102,4.605907700002717,space,19.29958429999533,,,,,170.99777650000033,173.02679969999735,192.35616770000343,217.3634325000021,217.3634325000021,217.36314241000144,,,,,,,,,,,,,008,001,2023-05-31_21h17.12.377,time_exp,2022.2.5,59.89139294638649,
pink.png,6,,,0,1,1,2,,,,,229.44685339999705,229.44685339999705,229.44685339999705,7.30811403508772,4.7491313999998965,space,19.932421699995757,,,,,223.42048059999797,229.44685339999705,249.39956900000107,274.40350919999764,274.40350919999764,274.403551210001,222.3669030000019,222.36690870999809,279.40735660000064,,,,,,,,,,008,001,2023-05-31_21h17.12.377,time_exp,2022.2.5,59.89139294638649,
pink.png,4,,,0,2,2,0,,,,,284.49548060000234,284.49548060000234,284.49548060000234,3.9706688596491224,4.807810400001472,space,12.823315299996466,,,,,280.4584373000034,284.49548060000234,297.33757779999723,322.33709980000276,322.33709980000276,322.33710601000274,279.40735660000064,279.4099452099974,327.34065840000403,280.4584373000034,,,,,,,,,008,001,2023-05-31_21h17.12.377,time_exp,2022.2.5,59.89139294638649,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.34065840000403,327.34065840000403,space,4.318191799997294,,,,,008,001,2023-05-31_21h17.12.377,time_exp,2022.2.5,59.89139294638649,
,,emo_pic\pnegative_low_6010.jpg,3,,,,,0,0,0,5,336.9110905999987,336.9110905999987,336.9110905999987,1.4487390350877187,10.431947900004161,space,36.62438139999722,,,,,,,373.5524901000026,398.5574373999989,398.5574373999989,398.5573136099985,331.6908967999989,331.69359942000153,403.5606177000009,,,,,,333.8816805000024,336.9110905999987,,,008,001,2023-05-31_21h17.12.377,time_exp,2022.2.5,59.89139294638649,
,,emo_pic\pnegative_low_2520.jpg,5,,,,,0,1,1,6,410.7517568999974,410.7517568999974,410.7517568999974,5.039747807017544,3.490769199997885,space,20.135198700001638,,,,,,,430.9087495999993,455.9139189999987,455.9139189999987,455.91403800999905,403.5606177000009,403.5609587100036,460.9177331000028,405.72119000000384,,,,,405.72119000000384,410.7517568999974,,,008,001,2023-05-31_21h17.12.377,time_exp,2022.2.5,59.89139294638649,
,,emo_pic\pnegative_low_2100.jpg,7,,,,,0,2,2,7,470.11928839999746,470.11928839999746,470.11928839999746,5.005482456140351,4.985537100001238,space,12.833120399998734,,,,,,,482.97522480000043,507.9837292000011,507.9837292000011,507.98393590999984,460.9177331000028,460.91770971000295,,463.0727592999974,,,,,463.0727592999974,470.11928839999746,,,008,001,2023-05-31_21h17.12.377,time_exp,2022.2.5,59.89139294638649,
,,emo_pic\pnegative_low_9331.jpg,1,,,,,0,3,3,4,516.1671827000027,516.1671827000027,516.1671827000027,0.194627192982455,8.517820300003223,space,18.410738200000196,,,,,,,534.6024470999982,559.603197299999,559.603197299999,559.6033279100004,512.9875365999978,512.9875380099977,564.6068790999998,,,,,,515.1319147000031,516.1671827000027,,,008,001,2023-05-31_21h17.12.377,time_exp,2022.2.5,59.89139294638649,
