pink,pra_duration,emo_pic,duration,pra_trials.thisRepN,pra_trials.thisTrialN,pra_trials.thisN,pra_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textreproductionstart.started,scale.started,key_next.started,scale.response,scale.rt,key_next.keys,key_next.rt,textWelcomeMessage.started,keyWelcome.started,keyWelcome.keys,keyWelcome.rt,image.started,image.stopped,textrest.started,textready.started,sound_2.started,textrest.stopped,textready.stopped,textblank1000.started,sound_1.started,textblank1000.stopped,text.started,key_resp.started,key_resp.keys,key_resp.rt,emopic.started,emopic.stopped,textEndMessage.started,keyEnd.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,54.94377559999998,54.94377559999998,54.94377559999998,8.253837719298245,47.606626500000004,space,121.99559480000005,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-05-31_10h48.40.818,time_exp,2022.2.5,59.99376064890144,
,,,,,,,,,,,,,,,,,,,176.9674455,176.9674455,space,15.410386000000017,,,,,,,,,,,,,,,,,,,003,001,2023-05-31_10h48.40.818,time_exp,2022.2.5,59.99376064890144,
pink.png,4,,,0,0,0,0,,,,,197.83637039999996,197.83637039999996,197.83637039999996,3.0386513157894735,10.88838549999997,space,33.188996100000054,,,,,193.80479599999995,197.83637039999996,231.04555499999998,256.0370949,256.03696503000003,256.05367499999994,261.0405265,,,,,,,,,,,,003,001,2023-05-31_10h48.40.818,time_exp,2022.2.5,59.99376064890144,
pink.png,6,,,0,1,1,2,,,,,268.1780498,268.1780498,268.1780498,6.047149122807017,4.347069400000009,space,28.04396840000004,,,,,262.125708,268.1780498,296.2821618,321.28293549999995,321.28339293,321.28293549999995,326.2865295,261.0405265,261.04062743,262.125708,,,,,,,,,003,001,2023-05-31_10h48.40.818,time_exp,2022.2.5,59.99376064890144,
pink.png,2,,,0,2,2,1,,,,,329.4200917,329.4200917,329.4200917,2.339638157894736,6.986022300000059,space,49.568243800000005,,,,,327.3642232,329.4200917,379.0095019,404.0074639,404.00740372999996,404.02406549999995,409.01116399999995,326.2865295,326.28609212999993,,,,,,,,,,003,001,2023-05-31_10h48.40.818,time_exp,2022.2.5,59.99376064890144,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409.01116399999995,409.01116399999995,space,45.34296410000002,,,,,003,001,2023-05-31_10h48.40.818,time_exp,2022.2.5,59.99376064890144,
,,emo_pic\pnegative_high_1201.jpg,5,,,,,0,0,0,10,461.6355144,461.6355144,461.6355144,4.738212719298246,3.889407799999958,space,21.056122699999946,,,,,,,482.76173349999993,507.7632831,507.76347163,507.7632831,512.7671359000001,454.3914941,454.39252645999994,,,,,,456.5743091,461.6355144,,,003,001,2023-05-31_10h48.40.818,time_exp,2022.2.5,59.99376064890144,
,,emo_pic\positive_high_8492.jpg,1,,,,,0,1,1,16,516.0065474,516.0065474,516.0065474,1.202028508771929,13.10827160000008,space,40.184919800000046,,,,,,,556.2193348999999,581.2152813,581.2152770299999,581.2317616999999,586.2183193000001,512.7671359000001,512.7669641299999,514.947862,,,,,514.947862,516.0065474,,,003,001,2023-05-31_10h48.40.818,time_exp,2022.2.5,59.99376064890144,
,,emo_pic\positive_high_8370.jpg,7,,,,,0,2,2,19,595.4361194999999,595.4361194999999,595.4361194999999,5.690789473684211,3.8444906999999375,space,26.22286730000002,,,,,,,621.7035051999999,646.6940735000001,646.69404203,646.7106137000001,651.6975772000001,586.2183193000001,586.21833373,588.3840642999999,,,,,588.3840642999999,595.4361194999999,,,003,001,2023-05-31_10h48.40.818,time_exp,2022.2.5,59.99376064890144,
,,emo_pic\pnegative_low_6010.jpg,3,,,,,0,3,3,5,656.9192874999999,656.9192874999999,656.9192874999999,2.6343201754385954,6.743493199999989,space,30.316618700000106,,,,,,,687.2781484,712.2757866,712.27331983,712.2898491000001,717.2766876000001,651.6975772000001,651.69731323,653.8607420999999,,,,,653.8607420999999,656.9192874999999,,,003,001,2023-05-31_10h48.40.818,time_exp,2022.2.5,59.99376064890144,
,,emo_pic\positive_low_7325.jpg,3,,,,,0,4,4,13,722.5030606,722.5030606,722.5030606,2.5589364035087714,5.099205299999994,space,27.884569200000044,,,,,,,750.4211263999998,775.4176525999999,775.4181424299998,775.4341577,780.4214949,717.2766876000001,717.2766124299999,719.4455335,,,,,719.4455335,722.5030606,,,003,001,2023-05-31_10h48.40.818,time_exp,2022.2.5,59.99376064890144,
,,emo_pic\pneutral_7233.jpg,5,,,,,0,5,5,2,787.6551350999998,787.6551350999998,787.6551350999998,4.03234649122807,7.660804300000109,space,27.99520440000009,,,,,,,815.6859950999999,840.6801737999999,840.6798764299999,840.6966355,845.6834560999998,780.4214949,780.42137983,782.5969071,,,,,782.5969071,787.6551350999998,,,003,001,2023-05-31_10h48.40.818,time_exp,2022.2.5,59.99376064890144,
,,emo_pic\pnegative_low_2100.jpg,7,,,,,0,6,6,7,854.9037860999999,854.9037860999999,854.9037860999999,5.581140350877193,5.8994930000001204,space,26.206569300000126,,,,,,,881.1514043,906.1594774,906.15935853,906.1594774,911.1630946,845.6834560999998,845.6835737299998,847.8516950999999,,,,,847.8516950999999,854.9037860999999,,,003,001,2023-05-31_10h48.40.818,time_exp,2022.2.5,59.99376064890144,
,,emo_pic\pnegative_high_6230.jpg,1,,,,,0,7,7,8,914.3882444999999,914.3882444999999,914.3882444999999,0.7154605263157889,8.641295200000059,space,19.8639371000001,,,,,,,934.2920457,959.2962341999998,959.29650333,959.2962341999998,,911.1630946,911.16270143,,,,,,913.3230423,914.3882444999999,,,003,001,2023-05-31_10h48.40.818,time_exp,2022.2.5,59.99376064890144,
,,emo_pic\pnegative_high_1120.jpg,7,,,,,0,8,8,11,973.5109653,973.5109653,973.5109653,3.6896929824561395,7.324721500000123,space,21.896636000000115,,,,,,,995.4616308999998,1020.4725676999999,1020.47259083,1020.4725676999999,,964.2999434999999,964.3000983299999,,,,,,966.4749327,973.5109653,,,003,001,2023-05-31_10h48.40.818,time_exp,2022.2.5,59.99376064890144,
,,emo_pic\positive_low_2156.jpg,7,,,,,0,9,9,15,1034.7120100999998,1034.7120100999998,1034.7120100999998,3.0797697368421044,3.9135023999999703,space,24.153531900000132,,,,,,,1058.9006322,1083.9003458,1083.90029483,1083.9003458,1088.9043514999998,1025.4762515999998,1025.4762132299998,,,,,,1027.6581328999998,1034.7120100999998,,,003,001,2023-05-31_10h48.40.818,time_exp,2022.2.5,59.99376064890144,
,,emo_pic\positive_high_5621.jpg,5,,,,,0,10,10,18,1096.1394031,1096.1394031,1096.1394031,2.7576754385964906,6.277416700000003,space,29.268235200000106,,,,,,,1125.4392513,1150.4303009,1150.43058063,1150.4469709,1155.433791,1088.9043514999998,1088.90408893,1091.083113,,,,,1091.083113,1096.1394031,,,003,001,2023-05-31_10h48.40.818,time_exp,2022.2.5,59.99376064890144,
,,emo_pic\pneutral_5500.jpg,1,,,,,0,11,11,0,1158.653372,1158.653372,1158.653372,1.2157346491228065,4.157102399999985,space,27.617205899999988,,,,,,,1186.3105793,1211.3063499999998,1211.3062518299998,1211.3229812,1216.309849,1155.433791,1155.4336442299998,1157.6044795999999,,,,,1157.6044795999999,1158.653372,,,003,001,2023-05-31_10h48.40.818,time_exp,2022.2.5,59.99376064890144,
,,emo_pic\pnegative_high_1300.jpg,3,,,,,0,12,12,9,1221.5279787,1221.5279787,1221.5279787,2.2711074561403506,4.225035499999876,space,37.40707560000027,,,,,,,1258.9559978,1283.9570150999998,1283.9569349299998,1283.9570150999998,1288.9608959999998,1216.309849,1216.30995083,1218.4775536999998,,,,,1218.4775536999998,1221.5279787,,,003,001,2023-05-31_10h48.40.818,time_exp,2022.2.5,59.99376064890144,
,,emo_pic\pneutral_7950.jpg,7,,,,,0,13,13,3,1298.1559985,1298.1559985,1298.1559985,7.7261513157894735,7.000711900000169,space,28.27308530000022,,,,,,,1326.4713084999999,1351.4715813999999,1351.4712212299999,1351.4715813999999,1356.4748687,1288.9608959999998,1288.9607087299999,1291.1198236,,,,,1291.1198236,1298.1559985,,,003,001,2023-05-31_10h48.40.818,time_exp,2022.2.5,59.99376064890144,
,,emo_pic\positive_low_2314.jpg,5,,,,,0,14,14,14,1363.7592986,1363.7592986,1363.7592986,4.608004385964912,3.959869400000116,space,21.199981100000002,,,,,,,1384.990808,1409.9957924999999,1409.9956966299999,1409.9957924999999,1414.9990007,1356.4748687,1356.4745412299999,1358.7047982,,,,,1358.7047982,1363.7592986,,,003,001,2023-05-31_10h48.40.818,time_exp,2022.2.5,59.99376064890144,
,,emo_pic\pneutral_7100.jpg,3,,,,,0,15,15,1,1420.237073,1420.237073,1420.237073,3.086622807017543,4.707264600000144,space,17.16775400000023,,,,,,,1437.4687921999998,1462.4657109999998,1462.46542493,1462.4822694,1467.4691908999998,1414.9990007,1414.99877193,1417.1827606,,,,,1417.1827606,1420.237073,,,003,001,2023-05-31_10h48.40.818,time_exp,2022.2.5,59.99376064890144,
,,emo_pic\pnegative_low_9331.jpg,1,,,,,0,16,16,4,1470.6850975999998,1470.6850975999998,1470.6850975999998,0.9141995614035081,7.026511300000038,space,34.595922800000096,,,,,,,1505.3338766,1530.3298793,1530.3297056299998,1530.3464479,1535.3335384,1467.4691908999998,1467.4692260299998,1469.6380159999999,,,,,1469.6380159999999,1470.6850975999998,,,003,001,2023-05-31_10h48.40.818,time_exp,2022.2.5,59.99376064890144,
,,emo_pic\pnegative_low_2520.jpg,5,,,,,0,17,17,6,1542.5501253,1542.5501253,1542.5501253,3.1208881578947363,4.650537199999917,space,23.97887159999999,,,,,,,1566.5521271,1591.5562143999998,1591.5564791299998,1591.5562143999998,1596.559524,1535.3335384,1535.33381343,1537.5018793,,,,,1537.5018793,1542.5501253,,,003,001,2023-05-31_10h48.40.818,time_exp,2022.2.5,59.99376064890144,
,,emo_pic\positive_low_7340.jpg,1,,,,,0,18,18,12,1599.7864608999998,1599.7864608999998,1599.7864608999998,2.1751644736842097,19.127696700000115,space,20.60239210000026,,,,,,,1620.4144259999998,1645.4105915999999,1645.4104725299999,1645.4270758,1650.4139513999999,1596.559524,1596.55942833,1598.7321789,,,,,1598.7321789,1599.7864608999998,,,003,001,2023-05-31_10h48.40.818,time_exp,2022.2.5,59.99376064890144,
,,emo_pic\positive_high_8300.jpg,3,,,,,0,19,19,17,1655.6503787,1655.6503787,1655.6503787,2.702850877192982,4.97433860000001,space,16.04782300000005,,,,,,,1671.7525484,1696.7467322999998,1696.74643843,1696.7630093999999,1701.7500736,1650.4139513999999,1650.41421273,1652.5989052999998,,,,,1652.5989052999998,1655.6503787,,,003,001,2023-05-31_10h48.40.818,time_exp,2022.2.5,59.99376064890144,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1701.7500736,1701.7500736,,,,,,,
