pink,pra_duration,emo_pic,duration,pra_trials.thisRepN,pra_trials.thisTrialN,pra_trials.thisN,pra_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textreproductionstart.started,scale.started,key_next.started,scale.response,scale.rt,key_next.keys,key_next.rt,textWelcomeMessage.started,keyWelcome.started,keyWelcome.keys,keyWelcome.rt,textblank1000.started,sound_1.started,textblank1000.stopped,image.started,image.stopped,textrest.started,textready.started,sound_2.started,textrest.stopped,textready.stopped,text.started,key_resp.started,key_resp.keys,key_resp.rt,emopic.started,emopic.stopped,textEndMessage.started,keyEnd.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,28.599344599992037,28.599344599992037,28.599344599992037,2.6851851851851856,96.17604829999618,space,206.27075779996812,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-05-31_17h04.20.731,time_exp,2022.2.5,59.99646020983193,
,,,,,,,,,,,,,,,,,,,234.9035819999408,234.9035819999408,space,27.453337499988265,,,,,,,,,,,,,,,,,,,006,001,2023-05-31_17h04.20.731,time_exp,2022.2.5,59.99646020983193,
pink.png,2,,,0,0,0,1,,,,,265.5041276999982,265.5041276999982,265.5041276999982,1.8055555555555554,12.833938700030558,space,53.76572470006067,,,,,262.38740789995063,262.3873536299914,263.4874366999138,263.4874366999138,265.5041276999982,319.28829449997284,344.27202649996616,344.27201572998894,344.28874049999285,349.27214709995314,,,,,,,,,006,001,2023-05-31_17h04.20.731,time_exp,2022.2.5,59.99646020983193,
pink.png,6,,,0,1,1,2,,,,,356.32225329999346,356.32225329999346,356.32225329999346,5.138888888888888,5.633583000046201,space,34.40369189996272,,,,,349.27214709995314,349.2721299299272,350.30550050002057,350.30550050002057,356.32225329999346,390.7728090999881,415.7565637999214,415.75653862995097,415.7732566000195,420.7566328999819,,,,,,,,,006,001,2023-05-31_17h04.20.731,time_exp,2022.2.5,59.99646020983193,
pink.png,4,,,0,2,2,0,,,,,425.8067234000191,425.8067234000191,425.8067234000191,3.1018518518518516,2.9335967999650165,space,9.447009600000456,,,,,420.7566328999819,420.756628529937,421.79000119993,421.79000119993,425.8067234000191,435.29028999991715,460.2739367999602,460.2739330299199,460.2905961999204,465.2739872999955,,,,,,,,,006,001,2023-05-31_17h04.20.731,time_exp,2022.2.5,59.99646020983193,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465.2739872999955,465.2739872999955,space,1.83536779996939,,,,,006,001,2023-05-31_17h04.20.731,time_exp,2022.2.5,59.99646020983193,
,,emo_pic\positive_low_2156.jpg,7,,,,,0,0,0,15,475.2070609999355,475.2070609999355,475.2070609999355,4.0740740740740735,24.783873700071126,space,35.37445329991169,,,,,467.14064419991337,467.1407060300233,468.1909547999967,,,510.6076235999353,535.5918250000104,535.5918061299715,535.6084865999874,540.5918890999164,,,,,468.1909547999967,475.2070609999355,,,006,001,2023-05-31_17h04.20.731,time_exp,2022.2.5,59.99646020983193,
,,emo_pic\pnegative_high_1120.jpg,7,,,,,0,1,1,11,548.624899999937,548.624899999937,548.624899999937,5.636574074074074,6.116988699999638,space,19.604847899987362,,,,,540.5918890999164,540.5918402299983,541.6085726999445,,,568.2585436999798,593.2427267999155,593.2427055299747,593.2593889000127,598.2427734999219,,,,,541.6085726999445,548.624899999937,,,006,001,2023-05-31_17h04.20.731,time_exp,2022.2.5,59.99646020983193,
,,emo_pic\positive_high_5621.jpg,5,,,,,0,2,2,18,604.2757783000125,604.2757783000125,604.2757783000125,4.085648148148148,4.0835462000686675,space,45.505667999968864,,,,,598.2427734999219,598.2427706300048,599.2595002999296,,,649.8102952999761,674.7940218999283,674.7940073299221,674.810660499963,679.7940892999759,,,,,599.2595002999296,604.2757783000125,,,006,001,2023-05-31_17h04.20.731,time_exp,2022.2.5,59.99646020983193,
,,emo_pic\positive_low_7340.jpg,1,,,,,0,3,3,12,681.8270241999999,681.8270241999999,681.8270241999999,0.7870370370370355,8.950686299940571,space,23.843167799990624,,,,,679.7940892999759,679.7940848299302,680.8107355999527,,,705.694536200026,730.6782388999127,730.6781834299443,730.6948989999946,735.6783153999131,,,,,680.8107355999527,681.8270241999999,,,006,001,2023-05-31_17h04.20.731,time_exp,2022.2.5,59.99646020983193,
,,emo_pic\pneutral_7950.jpg,7,,,,,0,4,4,3,743.7113242999185,743.7113242999185,743.7113242999185,5.104166666666667,3.350160100031644,space,12.103116799960844,,,,,735.6783153999131,735.6782987300073,736.6949939000187,,,755.8448435999453,780.8285673999926,780.8285552300047,780.8452358000213,785.8286453000037,,,,,736.6949939000187,743.7113242999185,,,006,001,2023-05-31_17h04.20.731,time_exp,2022.2.5,59.99646020983193,
,,emo_pic\pneutral_7100.jpg,3,,,,,0,5,5,1,789.8455082,789.8455082,789.8455082,2.5231481481481484,4.316905600018799,space,8.640488400007598,,,,,785.8286453000037,785.8286308299982,786.8286670999369,,,798.5126364999451,823.4963640000205,823.496344529977,823.5130261000013,828.4964559000218,,,,,786.8286670999369,789.8455082,,,006,001,2023-05-31_17h04.20.731,time_exp,2022.2.5,59.99646020983193,
,,emo_pic\pneutral_7233.jpg,5,,,,,0,6,6,2,834.5294145999942,834.5294145999942,834.5294145999942,4.085648148148148,3.2002089000307024,space,8.052289900020696,,,,,828.4964559000218,828.4964321299456,829.5131198000163,,,842.6130123999901,867.5970550000202,867.597013329924,867.6137204000261,872.5971097999718,,,,,829.5131198000163,834.5294145999942,,,006,001,2023-05-31_17h04.20.731,time_exp,2022.2.5,59.99646020983193,
,,emo_pic\pnegative_low_6010.jpg,3,,,,,0,7,7,5,876.6300786000211,876.6300786000211,876.6300786000211,2.569444444444444,5.316926500061527,space,14.977025200030766,,,,,872.5971097999718,872.5971243299543,873.6138216999825,,,891.630321900011,916.6144986000145,916.6144761299481,916.631131400005,921.6145827999571,,,,,873.6138216999825,876.6300786000211,,,006,001,2023-05-31_17h04.20.731,time_exp,2022.2.5,59.99646020983193,
