pink,pra_duration,emo_pic,duration,pra_trials.thisRepN,pra_trials.thisTrialN,pra_trials.thisN,pra_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textreproductionstart.started,scale.started,key_next.started,scale.response,scale.rt,key_next.keys,key_next.rt,textWelcomeMessage.started,keyWelcome.started,keyWelcome.keys,keyWelcome.rt,textblank1000.started,sound_1.started,image.started,image.stopped,textrest.started,textready.started,sound_2.started,textrest.stopped,textready.stopped,textblank1000.stopped,text.started,key_resp.started,key_resp.keys,key_resp.rt,emopic.started,emopic.stopped,textEndMessage.started,keyEnd.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,15.268837800016627,15.268837800016627,15.268837800016627,6.064814814814815,68.68636309995782,space,153.1410668999888,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-06-01_13h39.07.960,time_exp,2022.2.5,60.0092414376622,
,,,,,,,,,,,,,,,,,,,168.4511165000731,168.4511165000731,space,2.662546699983068,,,,,,,,,,,,,,,,,,,008,001,2023-06-01_13h39.07.960,time_exp,2022.2.5,60.0092414376622,
pink.png,6,,,0,0,0,2,,,,,178.2676556999795,178.2676556999795,178.2676556999795,6.006944444444445,8.900282999966294,space,24.191082199919038,,,,,171.15088500001002,171.15087695999534,172.2509066000348,178.2676556999795,202.48471099999733,227.46840680006426,227.4684444299666,227.48511280003004,232.46843870007433,,,,,,,,,,008,001,2023-06-01_13h39.07.960,time_exp,2022.2.5,60.0092414376622,
pink.png,4,,,0,1,1,0,,,,,237.51857249997556,237.51857249997556,237.51857249997556,2.546296296296296,5.166879300028086,space,74.12348059995566,,,,,232.46843870007433,232.46853822998236,233.50188710005023,237.51857249997556,311.66979439998977,336.6535210000584,336.6535372300306,336.6702150000492,341.6536179999821,233.50188710005023,,,,,,,,,008,001,2023-06-01_13h39.07.960,time_exp,2022.2.5,60.0092414376622,
pink.png,2,,,0,2,2,1,,,,,344.70367099996656,344.70367099996656,344.70367099996656,2.2685185185185186,3.7002367998939008,space,26.074010099982843,,,,,341.6536179999821,341.65361753006,342.6869767999742,344.70367099996656,370.82076130004134,395.8044824000681,395.8044890299672,395.8211519999895,400.8045616999734,342.6869767999742,,,,,,,,,008,001,2023-06-01_13h39.07.960,time_exp,2022.2.5,60.0092414376622,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.8045616999734,400.8045616999734,space,10.838286899961531,,,,,008,001,2023-06-01_13h39.07.960,time_exp,2022.2.5,60.0092414376622,
,,emo_pic\pneutral_7100.jpg,3,,,,,0,0,0,1,415.73780660005286,415.73780660005286,415.73780660005286,4.270833333333333,2.4336337000131607,space,10.00000280002132,,,,,411.67139699996915,411.67140272997784,,,425.7549709000159,450.73866070003714,450.73866123000624,450.75535760005005,455.73874399997294,412.72167840006296,,,,,412.72167840006296,415.73780660005286,,,008,001,2023-06-01_13h39.07.960,time_exp,2022.2.5,60.0092414376622,
,,emo_pic\pnegative_low_9331.jpg,1,,,,,0,1,1,4,457.7719957999652,457.7719957999652,457.7719957999652,0.3819444444444445,3.4668926000595093,space,15.742739300010726,,,,,455.73874399997294,455.73877373004797,,,473.5557228999678,498.5394191000378,498.53946162997744,498.5561198000796,503.5395343999844,456.7554572999943,,,,,456.7554572999943,457.7719957999652,,,008,001,2023-06-01_13h39.07.960,time_exp,2022.2.5,60.0092414376622,
,,emo_pic\pneutral_7233.jpg,5,,,,,0,2,2,2,509.5891898999689,509.5891898999689,509.5891898999689,7.037037037037036,3.933509199996479,space,36.32427640003152,,,,,503.5395343999844,503.5395341300638,,,545.9568816999672,570.9406094000442,570.9406166300644,570.9572779000737,575.9406805000035,504.57287949998863,,,,,504.57287949998863,509.5891898999689,,,008,001,2023-06-01_13h39.07.960,time_exp,2022.2.5,60.0092414376622,
,,emo_pic\pnegative_low_6010.jpg,3,,,,,0,3,3,5,579.990429700003,579.990429700003,579.990429700003,5.439814814814815,28.501026399899274,space,29.795557099976577,,,,,575.9406805000035,575.9406845299993,,,609.8078878000379,634.7916126999771,634.7916116300505,634.8082676000195,639.7916992000537,576.974036199972,,,,,576.974036199972,579.990429700003,,,008,001,2023-06-01_13h39.07.960,time_exp,2022.2.5,60.0092414376622,
,,emo_pic\positive_low_7340.jpg,1,,,,,0,4,4,12,641.82460729999,641.82460729999,641.82460729999,0.7060185185185184,4.817366499919444,space,23.081759699969552,,,,,639.7916992000537,639.7916905300692,,,664.9254319000756,689.9091151000466,689.9091514300555,689.9258227000246,694.9091986999847,640.808378900052,,,,,640.808378900052,641.82460729999,,,008,001,2023-06-01_13h39.07.960,time_exp,2022.2.5,60.0092414376622,
,,emo_pic\pnegative_low_2520.jpg,5,,,,,0,5,5,6,700.9423368000425,700.9423368000425,700.9423368000425,7.731481481481481,6.500569300027564,space,17.597174199996516,,,,,694.9091986999847,694.9092275300529,,,718.5595995000331,743.5433293000096,743.5433275300777,743.5600075999973,748.5434147000778,695.9259148000274,,,,,695.9259148000274,700.9423368000425,,,008,001,2023-06-01_13h39.07.960,time_exp,2022.2.5,60.0092414376622,
,,emo_pic\pnegative_low_2100.jpg,7,,,,,0,6,6,7,756.576713400078,756.576713400078,756.576713400078,8.055555555555555,3.6003643999574706,space,17.177024899981916,,,,,748.5434147000778,748.543427230022,,,773.7937975999666,798.7775441000704,798.777539830003,798.7941368999891,803.7776099999901,749.5600461000577,,,,,749.5600461000577,756.576713400078,,,008,001,2023-06-01_13h39.07.960,time_exp,2022.2.5,60.0092414376622,
